task_id,priority,description,dependencies,current_status,implementation_evidence,ui_evidence,test_evidence,deployment_evidence,hardware_validation_requirement,external_blocker,next_action
HW-02,P1,Capability-aware sanitization reports,,VERIFIED,"SOFTWARE VERIFIED — Advanced Drive Maintenance distinguishes metadata-only clear from user-data sanitization; HDD overwrite requires rotational classification; direct ATA, NVMe SANICAP, and exact SCSI SANITIZE service-action probes gate native methods while USB/UAS paths fail closed; NVMe completion is polled from sanitize-log rather than inferred from command acceptance; fresh stable identity, active-use exclusion and exact approval precede execution; success/failure reports persist capability and verification evidence in Activity; focused API/executor/parser/UI tests pass, while physical execution remains HW-16",See roadmap acceptance evidence,"SOFTWARE VERIFIED — Advanced Drive Maintenance distinguishes metadata-only clear from user-data sanitization; HDD overwrite requires rotational classification; direct ATA, NVMe SANICAP, and exact SCSI SANITIZE service-action probes gate native methods while USB/UAS paths fail closed; NVMe completion is polled from sanitize-log rather than inferred from command acceptance; fresh stable identity, active-use exclusion and exact approval precede execution; success/failure reports persist capability and verification evidence in Activity; focused API/executor/parser/UI tests pass, while physical execution remains HW-16",,Matching physical provider/hardware execution,,None; preserve with regression coverage
HW-03,P1,Full physical topology model,,VERIFIED,"SOFTWARE VERIFIED — the normalized graph preserves PCI BDF controller identity separately from the SAS host and connects port, PHY, expander, path, enclosure, confirmed/inferred/unknown bay, stable drive, filesystem, pool/share and Storage Group. A browser regression renders the complete chain; physical execution remains HW-16",See roadmap acceptance evidence,,,Matching physical provider/hardware execution,,None; preserve with regression coverage
HW-04,P1,Standards-first SCSI/SAS discovery,,VERIFIED,"SOFTWARE VERIFIED — the unprivileged detector reads cached binary VPD `0x80`/`0x83` pages directly from sysfs, separates logical-unit identity from target-port identity, and fails closed on conflicts/truncation; bounded read-only joined SES/AES and SMP providers correlate reported enclosure slots, SAS addresses, expander phys and link state without guessing; HCTL, PCI BDF, SAS transport and stable identity evidence are retained through the topology API and Advanced UI; 47 focused backend, 27 detector and 3 component tests pass, while matching physical execution remains HW-16",See roadmap acceptance evidence,"SOFTWARE VERIFIED — the unprivileged detector reads cached binary VPD `0x80`/`0x83` pages directly from sysfs, separates logical-unit identity from target-port identity, and fails closed on conflicts/truncation; bounded read-only joined SES/AES and SMP providers correlate reported enclosure slots, SAS addresses, expander phys and link state without guessing; HCTL, PCI BDF, SAS transport and stable identity evidence are retained through the topology API and Advanced UI; 47 focused backend, 27 detector and 3 component tests pass, while matching physical execution remains HW-16",,Matching physical provider/hardware execution,,None; preserve with regression coverage
HW-05,P1,SES enclosure provider,,VERIFIED,"SOFTWARE VERIFIED — bounded read-only `sg_ses --json` collection normalizes stable logical enclosure identity, health, slots, temperature, fan RPM/count, PSU and voltage state, locate/fault state, expander state and independent enclosure-path count; persistent telemetry and the Health UI retain explicit Not reported semantics, with parser/provider/API/UI regression coverage; matching physical shelves remain HW-16",See roadmap acceptance evidence,,,Matching physical provider/hardware execution,,None; preserve with regression coverage
HW-06,P1,Bay mapping evidence and confidence,,VERIFIED,"SOFTWARE VERIFIED — discovery, topology API, enclosure map and drive detail retain evidence source/time and render Confirmed, Inferred, or Not reported; direct sysfs and browser tests pass; physical identify-light certification remains HW-16",See roadmap acceptance evidence,"SOFTWARE VERIFIED — discovery, topology API, enclosure map and drive detail retain evidence source/time and render Confirmed, Inferred, or Not reported; direct sysfs and browser tests pass; physical identify-light certification remains HW-16",,Matching physical provider/hardware execution,,None; preserve with regression coverage
HW-07,P1,SAS PHY/link telemetry,,VERIFIED,SOFTWARE VERIFIED — Linux SAS transport collector and physical topology share stable SAS-address/PHY identity; bounded parsers preserve reported rates/counters and Not reported semantics with deterministic tests; physical provider validation remains HW-16,,SOFTWARE VERIFIED — Linux SAS transport collector and physical topology share stable SAS-address/PHY identity; bounded parsers preserve reported rates/counters and Not reported semantics with deterministic tests; physical provider validation remains HW-16,,Matching physical provider/hardware execution,,None; preserve with regression coverage
HW-08,P1,Slow-link interpretation,,VERIFIED,SOFTWARE VERIFIED — live topology exposes negotiated versus capable rates and uses evidence-aware guidance that explicitly allows a legitimate lower-rate device/intermediate link; fixture and browser coverage pass; physical layer-by-layer certification remains HW-16,See roadmap acceptance evidence,,,Matching physical provider/hardware execution,,None; preserve with regression coverage
HW-09,P1,Live topology UI,,VERIFIED,"SOFTWARE VERIFIED — real controller/port/PHY/expander/path/enclosure/bay/disk/logical relationships, honest missing data, rate rails, bay confidence, drive details, health tests, managed lifecycle routing, and identity-safe Locate are connected to backend behavior. Browser execution found and corrected nested-grid clipping that hid deep nodes; the full chain is now visible. Physical enclosure execution remains HW-16",See roadmap acceptance evidence,"SOFTWARE VERIFIED — real controller/port/PHY/expander/path/enclosure/bay/disk/logical relationships, honest missing data, rate rails, bay confidence, drive details, health tests, managed lifecycle routing, and identity-safe Locate are connected to backend behavior. Browser execution found and corrected nested-grid clipping that hid deep nodes; the full chain is now visible. Physical enclosure execution remains HW-16",,Matching physical provider/hardware execution,,None; preserve with regression coverage
HW-10,P1,Planning topology UI and templates,,VERIFIED,"SOFTWARE VERIFIED — migration 0014 persists revisioned future-layout documents separately from live discovery and expected-topology baselines; the authenticated API and Advanced Storage UI create generic 8/12/24-bay and dual-path shelf layouts, render declared chassis/controller/enclosure/bay relationships, and record exact planned additions or stable-identity retirements; server validation rejects stale revisions, unknown references, duplicate/out-of-range bays and identity-free retirement; 36 focused API/migration tests, 6 focused component tests, production build and a real Chromium create/edit workflow pass",See roadmap acceptance evidence,"SOFTWARE VERIFIED — migration 0014 persists revisioned future-layout documents separately from live discovery and expected-topology baselines; the authenticated API and Advanced Storage UI create generic 8/12/24-bay and dual-path shelf layouts, render declared chassis/controller/enclosure/bay relationships, and record exact planned additions or stable-identity retirements; server validation rejects stale revisions, unknown references, duplicate/out-of-range bays and identity-free retirement; 36 focused API/migration tests, 6 focused component tests, production build and a real Chromium create/edit workflow pass",,None identified,,None; preserve with regression coverage
HW-11,P1,Contextual hardware actions,,VERIFIED,"SOFTWARE VERIFIED — topology drive details route unassigned media into real health-test, import, and setup workflows; managed media routes to the Storage Group lifecycle for drain/read-only/retire/decommission; ZFS, Linux MD, and SnapRAID replacements use their technology-aware immutable workflows; HIGH-confidence enclosure mappings expose a bounded Locate action whose worker revalidates drive/slot identity, queries the exact SES slot read-only, sends only allowlisted structured commands, and schedules a durable non-cancellable clear; physical LED execution remains HW-16",,"SOFTWARE VERIFIED — topology drive details route unassigned media into real health-test, import, and setup workflows; managed media routes to the Storage Group lifecycle for drain/read-only/retire/decommission; ZFS, Linux MD, and SnapRAID replacements use their technology-aware immutable workflows; HIGH-confidence enclosure mappings expose a bounded Locate action whose worker revalidates drive/slot identity, queries the exact SES slot read-only, sends only allowlisted structured commands, and schedules a durable non-cancellable clear; physical LED execution remains HW-16",,Matching physical provider/hardware execution,,None; preserve with regression coverage
HW-12,P1,Expected topology declarations,,VERIFIED,"SOFTWARE VERIFIED — the Storage UI can explicitly save or replace the latest immutable scan as one named active baseline, shows the tracked facts, and can stop monitoring; migration 0013 persists expected controllers, enclosures, paths, drives, confirmed locations and reported rates separately from every subsequent observation; authenticated API, CSRF, audit, migration, service and component tests pass",See roadmap acceptance evidence,"SOFTWARE VERIFIED — the Storage UI can explicitly save or replace the latest immutable scan as one named active baseline, shows the tracked facts, and can stop monitoring; migration 0013 persists expected controllers, enclosures, paths, drives, confirmed locations and reported rates separately from every subsequent observation; authenticated API, CSRF, audit, migration, service and component tests pass",,None identified,,None; preserve with regression coverage
HW-13,P1,Topology drift events and annotations,,VERIFIED,"SOFTWARE VERIFIED — every completed backend hardware scan reconciles the active baseline without a browser, opens one durable episode for missing/new controllers, enclosures and paths, missing drives, moved bays and negotiated-rate degradation, updates rather than duplicates repeated observations, and resolves the episode after recovery; the Storage UI distinguishes active and resolved history with honest severities; 48 backend/API/migration/worker plus 6 focused UI tests and production build pass; graph annotations and physical shelf execution remain provider-validation work",See roadmap acceptance evidence,"SOFTWARE VERIFIED — every completed backend hardware scan reconciles the active baseline without a browser, opens one durable episode for missing/new controllers, enclosures and paths, missing drives, moved bays and negotiated-rate degradation, updates rather than duplicates repeated observations, and resolves the episode after recovery; the Storage UI distinguishes active and resolved history with honest severities; 48 backend/API/migration/worker plus 6 focused UI tests and production build pass; graph annotations and physical shelf execution remain provider-validation work",,Matching physical provider/hardware execution,,None; preserve with regression coverage
HW-14,P1,Sanitized real-hardware fixtures,,VERIFIED,"SOFTWARE VERIFIED — sanitized mixed-HBA/two-shelf fixture preserves controller PCI identity, transport, expander/path chain, 3/6/12 Gb/s observations, PHY counters, confirmed, inferred and explicitly unknown bays without real serials/host names; backend and actual browser topology regressions pass. Physical certification remains HW-16",See roadmap acceptance evidence,,,Matching physical provider/hardware execution,,None; preserve with regression coverage
HW-15,P1,Malformed-provider and regression tests,,VERIFIED,"SOFTWARE VERIFIED — adversarial fixtures cover truncated/invalid VPD, conflicting VPD versus udev identity, unidentified/oversized/malformed SMP, incomplete and joined SES/AES shapes, untrusted hardware metadata, missing sysfs facts, provider timeout/absence, and counter resets; collectors preserve `not_reported` or `temporarily_unavailable` instead of zero or inferred identity; focused backend/detector/UI regressions pass",See roadmap acceptance evidence,,,None identified,,None; preserve with regression coverage
HW-16,P1,Physical provider certification profiles,,PHYSICAL VALIDATION PENDING,"HARDWARE VALIDATION PENDING — providers, capability gates and sanitized fixtures are complete, but the attached Cisco SSDs remain explicitly read-only/unmodified and matching SAS2308/SAS3008, DS424IOM6/DS224IOM6 and vendor-firmware execution has not been authorized or completed",,,,Matching physical provider/hardware execution,"HARDWARE VALIDATION PENDING — providers, capability gates and sanitized fixtures are complete, but the attached Cisco SSDs remain explicitly read-only/unmodified and matching SAS2308/SAS3008, DS424IOM6/DS224IOM6 and vendor-firmware execution has not been authorized or completed",Execute matching physical certification without protected disks
BACKUP-01,P2,Remote backup target model,,VERIFIED,"SOFTWARE VERIFIED — migration 0017, normalized model/API, bounded history list and focused backend tests pass; hosted live-MinIO execution is tracked by VALID-04",,"SOFTWARE VERIFIED — migration 0017, normalized model/API, bounded history list and focused backend tests pass; hosted live-MinIO execution is tracked by VALID-04",,None identified,,None; preserve with regression coverage
BACKUP-02,P2,Backup credential handling,BACKUP-01,VERIFIED,"SOFTWARE VERIFIED — credentials are encrypted and redacted; endpoint resolution fails closed; unsafe private/HTTP use requires explicit approval; rotation refuses active work, invalidates prior connection proof, disables schedules, requires retest, and removes replacements from the DOM",,"SOFTWARE VERIFIED — credentials are encrypted and redacted; endpoint resolution fails closed; unsafe private/HTTP use requires explicit approval; rotation refuses active work, invalidates prior connection proof, disables schedules, requires retest, and removes replacements from the DOM",,None identified,,None; preserve with regression coverage
BACKUP-03,P2,S3-compatible providers,BACKUP-02,VERIFIED IN ISOLATION,"VERIFIED IN ISOLATION — one production boto3 contract and provider-specific endpoint policy cover all declared providers; Ubuntu 24.04 CI run `32685417436` used a live disposable MinIO service and the production durable worker to write, remotely verify, download, and restore-validate a real archive; external commercial-provider credentials remain unavailable certification inputs",,"VERIFIED IN ISOLATION — one production boto3 contract and provider-specific endpoint policy cover all declared providers; Ubuntu 24.04 CI run `32685417436` used a live disposable MinIO service and the production durable worker to write, remotely verify, download, and restore-validate a real archive; external commercial-provider credentials remain unavailable certification inputs",,None identified,,"Implement and prove: Support MinIO, AWS S3, R2, Wasabi, B2 S3, and generic compatible endpoints through one tested contract."
BACKUP-04,P2,Multipart/resumable upload and checksums,BACKUP-03,VERIFIED,"SOFTWARE VERIFIED — durable upload ID/part checkpoints, provider part reconciliation, bounded part memory and full remote SHA-256 verification pass deterministic tests; no ETag/MD5 assumption",,"SOFTWARE VERIFIED — durable upload ID/part checkpoints, provider part reconciliation, bounded part memory and full remote SHA-256 verification pass deterministic tests; no ETag/MD5 assumption",,None identified,,None; preserve with regression coverage
BACKUP-05,P2,"Scheduling, retry, bandwidth, and history",BACKUP-04,VERIFIED,"SOFTWARE VERIFIED — durable recovery, bounded SDK retries plus 5/30/120-second durable operation backoff, 1–720 hour idempotent scheduling, MiB/s pacing, cancellation boundaries, history and reports pass deterministic tests; live provider outage/recovery execution remains VALID-04",,"SOFTWARE VERIFIED — durable recovery, bounded SDK retries plus 5/30/120-second durable operation backoff, 1–720 hour idempotent scheduling, MiB/s pacing, cancellation boundaries, history and reports pass deterministic tests; live provider outage/recovery execution remains VALID-04",,None identified,,None; preserve with regression coverage
BACKUP-06,P2,Remote restore validation,BACKUP-05,VERIFIED,"SOFTWARE VERIFIED — bounded safe extraction, full archive/manifest/database checks and authenticated durable validation are implemented; the offline apply path requires an independent digest and credential-redaction evidence, refuses a non-fresh appliance, applies atomically and retains rollback state. Live MinIO fresh-root execution is tracked by VALID-04",,,,None identified,,None; preserve with regression coverage
BACKUP-07,P2,Control-plane export,BACKUP-06,VERIFIED,"SOFTWARE VERIFIED — consistent database export includes persisted preferences/topology/integrations/add-ons plus bounded non-secret configuration files and a checksummed manifest; password verifiers/live sessions/tokens are removed, `hoardarr.env` secret keys are omitted, and encrypted integration secrets are cleared into explicit credential-reentry states",,,,None identified,,None; preserve with regression coverage
BACKUP-08,P2,Encrypted secrets and fresh-appliance restore,BACKUP-07,VERIFIED,"SOFTWARE VERIFIED — scheduled/API backups exclude secret-like files, environment secret keys, password verifiers/live sessions/tokens, encrypted credential blobs, symlinks and the secret-store key while preserving disabled re-entry configuration; a root-only console export can instead wrap the installation key with scrypt + AES-256-GCM using a passphrase read only from stdin. Fresh offline apply verifies an independent digest, refuses active services/non-fresh state, rejects missing/wrong passphrases before mutation, atomically switches database/configuration/key with rollback, and the next hardware scan reconciles the physical registry by stable identity rather than kernel path; focused service/CLI tests pass",,"SOFTWARE VERIFIED — scheduled/API backups exclude secret-like files, environment secret keys, password verifiers/live sessions/tokens, encrypted credential blobs, symlinks and the secret-store key while preserving disabled re-entry configuration; a root-only console export can instead wrap the installation key with scrypt + AES-256-GCM using a passphrase read only from stdin. Fresh offline apply verifies an independent digest, refuses active services/non-fresh state, rejects missing/wrong passphrases before mutation, atomically switches database/configuration/key with rollback, and the next hardware scan reconciles the physical registry by stable identity rather than kernel path; focused service/CLI tests pass",,Matching physical provider/hardware execution,,None; preserve with regression coverage
BACKUP-09,P2,Backup UI/API/E2E,BACKUP-08,VERIFIED IN ISOLATION,"VERIFIED IN ISOLATION — Settings target/setup/test/schedule/run/history/validation UI, Activity linkage, component tests and browser E2E pass; transient outage/resume, corruption and pre-mutation insufficient-space handling pass deterministic tests. Ubuntu CI run `32691347484` built and installed the release, created a source owner, produced an encrypted console export, stopped all Hoardarr services, restored to an independent fresh root, migrated it, proved the source owner and setup token did not transfer, created a fresh owner, restarted services and passed readiness; the same artifact is deployed on the beta bench without applying its saved storage draft",See roadmap acceptance evidence,"VERIFIED IN ISOLATION — Settings target/setup/test/schedule/run/history/validation UI, Activity linkage, component tests and browser E2E pass; transient outage/resume, corruption and pre-mutation insufficient-space handling pass deterministic tests. Ubuntu CI run `32691347484` built and installed the release, created a source owner, produced an encrypted console export, stopped all Hoardarr services, restored to an independent fresh root, migrated it, proved the source owner and setup token did not transfer, created a fresh owner, restarted services and passed readiness; the same artifact is deployed on the beta bench without applying its saved storage draft","VERIFIED IN ISOLATION — Settings target/setup/test/schedule/run/history/validation UI, Activity linkage, component tests and browser E2E pass; transient outage/resume, corruption and pre-mutation insufficient-space handling pass deterministic tests. Ubuntu CI run `32691347484` built and installed the release, created a source owner, produced an encrypted console export, stopped all Hoardarr services, restored to an independent fresh root, migrated it, proved the source owner and setup token did not transfer, created a fresh owner, restarted services and passed readiness; the same artifact is deployed on the beta bench without applying its saved storage draft",None identified,,"Implement and prove: Provide target/setup/history/restore surfaces and test outage, resume, corruption, insufficient space, and fresh restore."
AUTO-01,P2,Stable machine API and read-only tokens,,VERIFIED,"SOFTWARE VERIFIED — Monitor only tokens authorize one schema-versioned persisted summary with bounded health, groups, 256 drives, 25 jobs, 50 alerts, 128 logical-storage objects, 128 controllers, 512 paths and maintenance state; raw configuration, operation requests and secrets are excluded",,,,None identified,,None; preserve with regression coverage
AUTO-02,P2,Home Assistant summary,AUTO-01,VERIFIED,"SOFTWARE VERIFIED — `/api/v1/integrations/home-assistant/summary` accepts Monitor only tokens, caps drives/jobs/alerts, excludes requests and secrets, reports persisted-source timestamps, is documented in Settings/OpenAPI, and passes auth/schema/redaction tests",,"SOFTWARE VERIFIED — `/api/v1/integrations/home-assistant/summary` accepts Monitor only tokens, caps drives/jobs/alerts, excludes requests and secrets, reports persisted-source timestamps, is documented in Settings/OpenAPI, and passes auth/schema/redaction tests",,None identified,,None; preserve with regression coverage
AUTO-03,P2,Webhooks,AUTO-02,VERIFIED,"SOFTWARE VERIFIED — encrypted endpoints, DNS/IP revalidation, literal-IP connection pinning, HMAC-SHA256 envelopes, fixed event catalog, 32 KiB redacted payloads, per-endpoint/event deduplication, durable 30/120/600/3600-second retries, five-attempt cap, real test delivery, Settings status, API and worker delivery pass focused tests",,"SOFTWARE VERIFIED — encrypted endpoints, DNS/IP revalidation, literal-IP connection pinning, HMAC-SHA256 envelopes, fixed event catalog, 32 KiB redacted payloads, per-endpoint/event deduplication, durable 30/120/600/3600-second retries, five-attempt cap, real test delivery, Settings status, API and worker delivery pass focused tests",,None identified,,None; preserve with regression coverage
AUTO-04,P2,Prometheus integration,AUTO-03,VERIFIED,"SOFTWARE VERIFIED — authenticated and `metrics.export`-entitled export uses catalog-derived stable names, caps current samples at 5,000, emits only entity UUID/type labels, excludes hardware/user labels and secrets, and passes entitlement/cardinality/untrusted-label tests",See roadmap acceptance evidence,"SOFTWARE VERIFIED — authenticated and `metrics.export`-entitled export uses catalog-derived stable names, caps current samples at 5,000, emits only entity UUID/type labels, excludes hardware/user labels and secrets, and passes entitlement/cardinality/untrusted-label tests",,None identified,,None; preserve with regression coverage
AUTO-05,P2,Alert lifecycle,AUTO-04,VERIFIED,"SOFTWARE VERIFIED — informational, warning and critical presentation plus durable active/acknowledged/bounded-suppressed/cleared lifecycle are enforced by authenticated operate-scope APIs, audited, exposed in Analytics, and covered by state/filter/expiry/error/UI tests",See roadmap acceptance evidence,"SOFTWARE VERIFIED — informational, warning and critical presentation plus durable active/acknowledged/bounded-suppressed/cleared lifecycle are enforced by authenticated operate-scope APIs, audited, exposed in Analytics, and covered by state/filter/expiry/error/UI tests",,None identified,,None; preserve with regression coverage
AUTO-06,P2,"Alert deduplication, routing, and suppression",AUTO-05,VERIFIED,"SOFTWARE VERIFIED — durable rule/entity deduplication, hysteresis, sustained windows, path-flap detection, bounded operator suppression, signed generic-webhook routing and evidence-aware runbooks are implemented. The canonical integration is the tested generic signed webhook contract (including an operator-managed Apprise-compatible receiver); Hoardarr does not add a second unauthenticated notification protocol",,"SOFTWARE VERIFIED — durable rule/entity deduplication, hysteresis, sustained windows, path-flap detection, bounded operator suppression, signed generic-webhook routing and evidence-aware runbooks are implemented. The canonical integration is the tested generic signed webhook contract (including an operator-managed Apprise-compatible receiver); Hoardarr does not add a second unauthenticated notification protocol",,None identified,,None; preserve with regression coverage
AUTO-07,P2,Evidence-aware operational runbooks,AUTO-06,VERIFIED,"SOFTWARE VERIFIED — Analytics attaches metric/entity-aware guidance for CRC paths, pending/uncorrectable sectors, reduced storage paths, SnapRAID protection and pool/ZFS health; every runbook lists evidence and cautious actions, while unknown metrics receive no invented diagnosis",,,,None identified,,None; preserve with regression coverage
AUTO-08,P2,Automation integration tests,AUTO-07,VERIFIED,"SOFTWARE VERIFIED — token scope/schema/redaction, Prometheus bounds, alert lifecycle, transaction-level webhook deduplication, signing, secret redaction, transient outage/retry, permanent rejection and real alert open/clear routing pass deterministic tests; production delivery is additionally proven against a disposable live TCP HTTP receiver with exact body and signature verification",,"SOFTWARE VERIFIED — token scope/schema/redaction, Prometheus bounds, alert lifecycle, transaction-level webhook deduplication, signing, secret redaction, transient outage/retry, permanent rejection and real alert open/clear routing pass deterministic tests; production delivery is additionally proven against a disposable live TCP HTTP receiver with exact body and signature verification",,None identified,,None; preserve with regression coverage
MEDIA-01,P1,Graph UX coverage,,VERIFIED,"SOFTWARE VERIFIED — normalized entity and catalog selectors expose real system/storage/disk/pool/controller/path/enclosure readings, per-metric quality and Not reported semantics, bounded persistent history, graph diagnostics and controller failover annotations; component/E2E and memory lifecycle coverage pass",,,,None identified,,None; preserve with regression coverage
MEDIA-02,P1,History and compression transparency,MEDIA-01,VERIFIED,"SOFTWARE VERIFIED — Analytics shows live/recent/hourly/daily resolution and retention, automatic raw versus aggregated source, point counts/limits, aggregation method, database size/growth estimate, oldest history, cleanup schedule and entitlement state from the backend settings API",,,,None identified,,None; preserve with regression coverage
MEDIA-03,P1,Plex/Jellyfin/Emby read-only collectors,MEDIA-02,VERIFIED,"SOFTWARE VERIFIED — product-aware DNS-pinned read-only adapters collect bounded library names/types/paths and item counts through Plex/Jellyfin/Emby APIs, persist sanitized state through durable discovery, expose honest Not reported capacity until Storage Group correlation exists, and render accessible UI with provider/API/browser tests",See roadmap acceptance evidence,"SOFTWARE VERIFIED — product-aware DNS-pinned read-only adapters collect bounded library names/types/paths and item counts through Plex/Jellyfin/Emby APIs, persist sanitized state through durable discovery, expose honest Not reported capacity until Storage Group correlation exists, and render accessible UI with provider/API/browser tests",,None identified,,None; preserve with regression coverage
MEDIA-04,P1,Media-to-storage mapping confidence,MEDIA-03,VERIFIED,"SOFTWARE VERIFIED — a library maps only when its path and the Storage Group namespace both resolve locally, containment is proven, and filesystem device identity matches; the API/UI expose high confidence and source evidence while remote/container-only or ambiguous paths remain Not reported",See roadmap acceptance evidence,,,None identified,,None; preserve with regression coverage
MEDIA-05,P1,Media growth history,MEDIA-04,VERIFIED,SOFTWARE VERIFIED — the durable worker refreshes media servers without browser/API consumers and persists bounded library item-count plus locally proven Storage Group capacity/free samples into the existing raw/hourly/daily telemetry path; generic Analytics graphs and retention/query limits apply,See roadmap acceptance evidence,,,None identified,,None; preserve with regression coverage
MEDIA-06,P1,ARR active-operation awareness,MEDIA-05,VERIFIED,"SOFTWARE VERIFIED — Sonarr/Radarr/Lidarr/Readarr/Whisparr adapters combine bounded download-queue state with the upstream command queue, classify product-specific import/rename/move commands without persisting titles or paths, fail closed on incomplete command data, refresh independently of API/browser clients, and block drain preflight/execution while fresh writes remain active",See roadmap acceptance evidence,,,None identified,,None; preserve with regression coverage
MEDIA-07,P1,Filesystem-activity degraded fallback,MEDIA-06,VERIFIED,"SOFTWARE VERIFIED — drain preflight independently inspects bounded open-file use on the source, reports process/handle evidence where Linux permits it, and separately warns when ARR activity is unavailable rather than claiming filesystem evidence is equivalent; disposable Linux execution remains VALID-02",,,,None identified,,None; preserve with regression coverage
MEDIA-08,P1,Maintenance and drain windows,MEDIA-07,VERIFIED,"SOFTWARE VERIFIED — API/UI support timezone-aware delayed starts, bounded per-run/resume maintenance windows, bandwidth and I/O-priority controls; the worker pauses at the window boundary, persists checkpoints and rechecks fresh ARR activity before each file, with deterministic plan/tamper/resume coverage and isolated lifecycle evidence",See roadmap acceptance evidence,,,None identified,,None; preserve with regression coverage
MEDIA-09,P1,Guided landing-tier setup,MEDIA-08,VERIFIED,"SOFTWARE VERIFIED — the Storage page now discovers only explicitly configured `cache`/`landing` Storage Group backends, explains the empty state honestly, selects real source/destination namespaces, previews the exact transfer, and launches the durable worker; component and browser coverage exercise the user workflow",See roadmap acceptance evidence,,,None identified,,None; preserve with regression coverage
MEDIA-10,P1,Torrent and Usenet state models,MEDIA-09,VERIFIED,"SOFTWARE VERIFIED — torrent download-complete/seeding retention/manual cleanup and Usenet download/repair/unpack/verify/import/cleanup prerequisites are distinct planner states with immutable plans, durable execution, restart-safe staging, source identity revalidation, and UI explanations",See roadmap acceptance evidence,,,None identified,,None; preserve with regression coverage
MEDIA-11,P1,Tier occupancy and migration UX,MEDIA-10,VERIFIED,"SOFTWARE VERIFIED — the Storage UI reads capacity only from configured cache/landing Storage Group backends, shows exact durable queued/running byte totals, retained seeding bytes and failures, and reports drain time only after at least three measured copy/move rates; hardlinks are excluded from rate history and insufficient evidence remains Not reported",See roadmap acceptance evidence,,,None identified,,None; preserve with regression coverage
VOLUME-01,P1,Canonical logical-storage abstraction,,VERIFIED,"VERIFIED — migration 0023 persists provider-native filesystem/dataset/zvol/logical-volume/LUN identities independently of kernel device paths, enforces provider/resource/presentation/capacity constraints and parent linkage, exposes an authenticated inventory API, and has deterministic registration, invalid-input, migration, and API tests; UI and create operations remain explicitly assigned to VOLUME-03/VOLUME-04/VOLUME-11",See roadmap acceptance evidence,"VERIFIED — migration 0023 persists provider-native filesystem/dataset/zvol/logical-volume/LUN identities independently of kernel device paths, enforces provider/resource/presentation/capacity constraints and parent linkage, exposes an authenticated inventory API, and has deterministic registration, invalid-input, migration, and API tests; UI and create operations remain explicitly assigned to VOLUME-03/VOLUME-04/VOLUME-11",,None identified,,None; preserve with regression coverage
VOLUME-02,P1,Capability and constraint model,VOLUME-01,VERIFIED,"VERIFIED — migration 0024 persists timestamped provider capability observations; filesystem, ZFS dataset/zvol, LVM LV, Linux MD filesystem and iSCSI LUN profiles distinguish provider support from runtime availability for all required capabilities, reject incompatible overrides, expose bounded provider constraints and return the matrix through the authenticated volume API with deterministic unavailable/unsupported/conflict tests",,"VERIFIED — migration 0024 persists timestamped provider capability observations; filesystem, ZFS dataset/zvol, LVM LV, Linux MD filesystem and iSCSI LUN profiles distinguish provider support from runtime availability for all required capabilities, reject incompatible overrides, expose bounded provider constraints and return the matrix through the authenticated volume API with deterministic unavailable/unsupported/conflict tests",,None identified,,None; preserve with regression coverage
VOLUME-03,P1,Guided volume creation,VOLUME-01;VOLUME-02,VERIFIED,"VERIFIED — the real Storage UI offers plain media/download/archive/backup/general/VM choices only when a live ZFS pool with stable GUID is detected; immutable previews apply purpose-specific dataset/zvol defaults, capacity reserve and health gates; a durable non-cancellable operation revalidates pool identity, runs fixed-argv ZFS commands, verifies provider identity, registers the canonical volume only after success, exposes Activity progress and honest empty/error states; backend planner/API/executor/worker tests, focused UI tests, production build and a Playwright create/review/completion workflow pass; disposable-Linux provider execution remains VOLUME-12",See roadmap acceptance evidence,"VERIFIED — the real Storage UI offers plain media/download/archive/backup/general/VM choices only when a live ZFS pool with stable GUID is detected; immutable previews apply purpose-specific dataset/zvol defaults, capacity reserve and health gates; a durable non-cancellable operation revalidates pool identity, runs fixed-argv ZFS commands, verifies provider identity, registers the canonical volume only after success, exposes Activity progress and honest empty/error states; backend planner/API/executor/worker tests, focused UI tests, production build and a Playwright create/review/completion workflow pass; disposable-Linux provider execution remains VOLUME-12",,None identified,,None; preserve with regression coverage
VOLUME-04,P1,Advanced volume creation,VOLUME-01;VOLUME-02,VERIFIED,"VERIFIED — Advanced Storage customization changes the real immutable ZFS plan and fixed-argv executor command for dataset/zvol type, bounded compression, recordsize/volblocksize, atime, safe mount path and sparse allocation; server-side validation rejects traversal, incompatible and unbounded values; LVM/LUN creation remains deliberately absent because no mutation provider exists; deterministic formula/argv/API/component tests, production TypeScript build and a Playwright Advanced-geometry workflow pass",,"VERIFIED — Advanced Storage customization changes the real immutable ZFS plan and fixed-argv executor command for dataset/zvol type, bounded compression, recordsize/volblocksize, atime, safe mount path and sparse allocation; server-side validation rejects traversal, incompatible and unbounded values; LVM/LUN creation remains deliberately absent because no mutation provider exists; deterministic formula/argv/API/component tests, production TypeScript build and a Playwright Advanced-geometry workflow pass",,None identified,,None; preserve with regression coverage
VOLUME-05,P2,Snapshot and clone lifecycle,VOLUME-04,NOT STARTED,,,,,None identified,,"Implement and prove: Implement durable create/list/restore/delete, schedules, retention, and clone behavior for providers that expose those operations."
VOLUME-06,P2,"Quotas, reservations, and thin provisioning",VOLUME-05,NOT STARTED,,,,,None identified,,Implement and prove: Apply and read back provider-native capacity limits without simulating them on unsupported backends.
